name,source,product_company,product_overview,description,industry,upvotes,comments,launched,domain_age_days,fresh_domain,hn_points,location,github_username,github_url,website,product_url,linkedin,profile_url
Crystal J,producthunt,Kimi K3,The world's first open 3T-class model,"Kimi K3 is the world's first open 3T-class model — frontier performance across coding, knowledge work, and reasoning, with native multimodality and 1M context.",Open Source; Artificial Intelligence; Development,436,13,2026-07-17,10952,N,2063,,,,,https://www.producthunt.com/products/kimi-ai-assistant,,https://www.producthunt.com/@crystal_j
George Apostolov,producthunt,LiveDemo,"Open-source alternative to Storylane, Navattic, and Arcade","Create interactive product demos in minutes. Capture any workflow, add AI voiceovers and personalized text, then share it as a link, embed, GIF, or video while tracking engagement and collecting leads across your website, docs, and sales outreach.",Sales; SaaS; Developer Tools; GitHub,277,44,2026-07-18,1040,N,3,,,,https://livedemo.live,https://www.producthunt.com/products/livedemo,,https://www.producthunt.com/@gapostolov
Aleksandar Blazhev,producthunt,LiveDemo,"Open-source alternative to Storylane, Navattic, and Arcade",,Sales; SaaS; Developer Tools; GitHub,277,44,2026-07-18,,,,,,,,https://www.producthunt.com/products/livedemo,,https://www.producthunt.com/@byalexai
Justin Jincaid,producthunt,Paradigm,The data layer for AI agents,,Developer Tools; Artificial Intelligence; E-Commerce,541,63,2026-07-18,,,,,,,,https://www.producthunt.com/products/zoodata,,https://www.producthunt.com/@justin2025
Rohan Chaubey,producthunt,Unabyss for Claude,Shared memory across all apps and LLMs. In Claude,,Productivity; Artificial Intelligence,589,122,2026-07-17,,,,,,,https://chat.whatsapp.com/Js82is4nb4p3AsZi0tbjSQ,https://www.producthunt.com/products/unabyss,,https://www.producthunt.com/@rohanrecommends
ISTIAK AHMAD,producthunt,Pebbles Ai,AI sales platform for modern B2B teams,,Sales; Email Marketing; Artificial Intelligence,428,102,2026-07-17,,,,,istiakahmad,https://github.com/istiakahmad,,https://www.producthunt.com/products/pebbles-ai,,https://www.producthunt.com/@istiakahmad
Masaki Iino,producthunt,Pocket Screen,Keep any Mac window visible in a floating mini screen,"Pocket Screen turns the frontmost window on your Mac into a compact, always-on-top PiP-style view. Keep documents, chats, videos, or reference material visible while you work in another app—without constantly switching windows. Processing stays on your Mac.",Mac; Productivity; Menu Bar Apps,241,52,2026-07-17,,,,,,,,https://www.producthunt.com/products/toybird-labs,,https://www.producthunt.com/@masaki_iino
Nikhil Radosevich,producthunt,Yapper Leaderboard,See the biggest startup yappers on X/Twitter ,,Twitter; Social Media; Analytics,150,18,2026-07-17,,,,New York,nikhilrado,https://github.com/nikhilrado,,https://www.producthunt.com/products/yapper-leaderboard,,https://www.producthunt.com/@nikhilrado
Akul Gupta,dinner,MindFort,CTO & Co-founder @ MindFort,,,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/akulguptax,https://luma.com/user/usr-8IiPGNnVB83udoF
Angela Mascarenas (The AI Furnace),dinner,,AI Founder + Community Builder,,AI/ML,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/angela-mascarenas-7698132b,https://luma.com/user/usr-x2ibqxQgFH6yg1Z
Arslan Ihsan,dinner,,Build that matters | Helping Startups to IPO | Founder | Keynote Speaker | Advisor | Networker,,,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/arslanhaktic,https://luma.com/user/usr-r9CwsAD7wJeCr2J
Brandon Veiseh,dinner,MindFort,CEO & Co-founder @ MindFort,,,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/brandon-veiseh,https://luma.com/user/usr-r7vp8RCRwxHXQNY
Eve Halimi,dinner,,Co-Founder of Alinea ,,,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/eve-halimi,https://luma.com/user/usr-DyKwYGl4UDFYkEh
Fatima Ashraf,dinner,CouWed,"Designer, technologist, and founder of CouWed. My work blends immersive media, AI, and interactive design to create experiences built on pre",,AI/ML; Health; Design,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/fatima-ashraf-52948a214,https://luma.com/user/usr-BGiGBLhBIABxpOt
Gloria Liu,dinner,Odd One In,"investor, co-founder @ Odd One In",,,,,,,,,Vancouver (tz),,,,,,https://luma.com/user/usr-g7IGwzdIYk4qZ4C
Julie Zhu,dinner,Odd One In," Design, co-founder @ Odd One In",,Design,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/juzzhu,https://luma.com/user/usr-KJZs89BHF40ySdJ
Kelsey Aina,dinner,,"Head of Partnerships at Anrok, Former HubSpot, Former Founder.",,,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/kelseyaina,https://luma.com/user/usr-f4PlLyQJkHwI5EO
Mohan Kumar,dinner,,"CEO, Aira Security",,AI/ML; Security,,,,,,,Los Angeles (tz),,,,,https://www.linkedin.com/in/vimokumar,https://luma.com/user/usr-jkk6HgYiSPzCcZS
Sal Khan,dinner,,Founder & Creative Director ,,,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/SalKhvn,https://luma.com/user/usr-D5jHjnSWExZbzKc
Sharon Rao,dinner,,"- Former MD / 1x Founder / Operator @medschoolbro 
- Med / Tech / Women’s Health",,Health,,,,,,,Toronto (tz),,,,,https://www.linkedin.com/in/sharonrao,https://luma.com/user/usr-ikJNfn2OxvPr7GO
Ayaan Naveed Malik,dinner,,"stanford university alum!
building a frontier AI Lab to solve robotics —> AMI Labs",,AI/ML; Robotics,,,,,,,New York (tz),,,,,https://www.linkedin.com/in/ayaannaveedmalik,https://luma.com/user/usr-7ljBD259ZmkUwD7
